Name,ADP,ADP_FP,ADP_ESPN
Shohei Ohtani,1.5,1.0,2.0
Aaron Judge,2.4,2.0,2.7
Bobby Witt Jr.,3.8,3.0,4.5
Jose Ramirez,5.2,5.0,5.5
Juan Soto,6.2,4.0,8.5
Tarik Skubal,6.8,7.0,6.5
Kyle Tucker,9.4,11.0,7.8
Corbin Carroll,13.2,9.0,17.4
Paul Skenes,13.7,12.0,15.4
Fernando Tatis Jr.,15.4,14.0,16.9
Vladimir Guerrero Jr.,16.1,20.0,12.2
Garrett Crochet,16.8,13.0,20.5
Francisco Lindor,16.8,18.0,15.5
Ronald Acuna Jr.,17.8,10.0,25.5
Elly De La Cruz,19.8,6.0,33.6
Manny Machado,22.1,31.0,13.2
Ketel Marte,25.0,24.0,25.9
Gunnar Henderson,25.8,15.0,36.7
Pete Alonso,26.3,28.0,24.6
Cal Raleigh,26.5,19.0,34.0
Matt Olson,27.8,40.0,15.7
Mookie Betts,27.9,46.0,9.8
Kyle Schwarber,28.2,23.0,33.5
Yordan Alvarez,30.2,30.0,30.3
Freddie Freeman,30.6,45.0,16.3
Trea Turner,32.0,27.0,37.0
Jackson Chourio,32.0,22.0,42.1
Bryce Harper,35.4,35.0,35.9
Logan Gilbert,37.6,34.0,41.1
Mason Miller,39.5,48.0,31.0
Cole Ragans,42.4,52.0,32.9
William Contreras,42.8,64.0,21.7
Yoshinobu Yamamoto,44.6,26.0,63.2
Chris Sale,45.8,41.0,50.7
Jackson Merrill,45.9,57.0,34.8
Max Fried,54.0,44.0,63.9
Logan Webb,56.2,54.0,58.3
Josh Naylor,56.3,49.0,63.6
Jazz Chisholm Jr.,56.6,21.0,92.2
Dylan Cease,57.2,80.0,34.5
Jarren Duran,58.4,71.0,45.8
Brent Rooker,58.8,50.0,67.6
Corey Seager,59.0,75.0,43.1
Rafael Devers,61.0,32.0,90.0
Austin Riley,62.7,61.0,64.4
Framber Valdez,67.8,87.0,48.6
Jose Altuve,70.6,96.0,45.2
Edwin Diaz,71.3,56.0,86.6
Joe Ryan,74.5,70.0,79.0
Zack Wheeler,74.6,131.0,18.2
Teoscar Hernandez,74.9,114.0,35.8
Josh Hader,75.7,78.0,73.4
Cristopher Sanchez,76.4,33.0,119.9
Hunter Greene,79.6,39.0,120.3
Devin Williams,82.0,103.0,61.0
Michael Harris II,82.5,99.0,66.0
Hunter Brown,83.3,43.0,123.6
