Name,Position,H,2B,3B,HR,R,RBI,BB,K,SB,CYC,GSHR,IP,ER,K_pitch,QS,SV,HLD,GS,H_allowed,BB_issued,CG,NH,PG
Cal Raleigh,C,124.1,22.5,0.2,39.0,87.8,96.7,75.9,166.6,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Hunter Goodman,C,121.3,25.8,3.0,26.2,64.9,78.2,31.3,133.1,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
William Contreras,C,138.7,27.8,0.9,19.4,75.7,75.6,69.5,114.0,6.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Shea Langeliers,C,116.4,23.8,1.0,27.4,68.6,75.1,38.1,115.3,5.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Salvador Perez,C,136.5,25.1,0.2,26.3,65.6,86.0,29.0,119.1,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Ben Rice,C,107.4,21.2,1.9,24.4,67.9,70.3,50.1,106.4,3.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Ivan Herrera,C,120.3,21.0,1.0,16.5,65.4,60.3,53.0,100.4,7.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Will Smith,C,107.1,20.4,1.1,18.5,65.0,65.6,55.6,94.8,2.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Drake Baldwin,C,115.6,20.0,1.3,18.2,59.5,67.7,45.3,87.1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Yainer Diaz,C,127.7,22.9,1.1,18.9,57.0,66.4,21.6,85.4,1.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Agustin Ramirez,C,104.6,23.5,1.0,17.4,56.0,60.2,34.5,90.8,11.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Adley Rutschman,C,122.4,24.5,1.4,17.1,67.3,65.8,62.1,87.6,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Alejandro Kirk,C,112.1,18.8,0.3,14.1,52.8,58.7,46.4,57.3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Gabriel Moreno,C,104.9,19.6,1.2,10.7,50.4,52.3,40.3,72.5,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Ryan Jeffers,C,104.3,22.3,0.8,15.9,56.5,56.9,45.4,101.6,2.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
J.T. Realmuto,C,98.5,19.5,1.8,12.9,49.2,49.7,28.6,105.5,6.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Francisco Alvarez,C,86.9,14.7,1.1,19.9,50.1,56.2,38.2,104.7,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Samuel Basallo,C,81.4,16.1,0.7,16.4,44.9,49.8,30.3,91.4,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kyle Teel,C,94.9,16.3,0.8,11.6,52.5,45.1,48.6,111.2,5.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Austin Wells,C,84.1,17.9,0.9,17.2,48.7,53.4,35.1,103.0,4.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Logan O'Hoppe,C,86.4,13.0,1.0,17.1,44.0,49.6,28.3,116.4,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Tyler Stephenson,C,85.7,17.4,0.8,13.4,45.6,47.9,39.8,115.5,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Dillon Dingler,C,83.7,17.2,1.7,11.2,40.8,44.0,24.9,92.3,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Bo Naylor,C,81.6,18.0,1.0,15.9,48.4,49.8,44.8,104.7,4.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Carter Jensen,C,74.4,15.0,2.4,10.6,40.0,40.8,34.4,86.6,3.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Edgar Quero,C,90.7,16.3,0.2,8.8,41.1,40.8,35.9,72.8,1.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Carlos Narvaez,C,79.5,17.2,0.2,11.5,41.8,43.0,38.3,102.3,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Carson Kelly,C,71.4,11.5,0.9,11.4,38.3,39.4,31.7,69.1,1.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Moises Ballesteros,C,73.1,13.4,1.0,8.0,34.0,35.2,25.4,54.6,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Victor Caratini,C,75.8,12.5,0.2,9.7,35.9,38.1,25.6,60.6,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Patrick Bailey,C,91.0,17.7,1.9,8.6,44.4,43.7,34.0,117.7,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Freddy Fermin,C,89.3,15.3,0.8,9.3,41.3,39.8,27.1,79.5,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sean Murphy,C,59.9,11.9,0.3,12.4,36.0,38.9,31.1,85.3,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Keibert Ruiz,C,77.3,15.0,0.2,8.5,31.7,36.6,16.6,38.3,2.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Danny Jansen,C,59.6,12.1,0.2,11.9,36.2,36.6,33.9,74.1,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pedro Pages,C,64.1,11.8,0.8,8.5,30.5,33.0,20.7,80.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Joey Bart,C,59.0,10.3,0.3,6.7,30.0,28.8,27.4,77.8,1.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Luis Campusano,C,53.8,9.7,0.2,8.0,28.1,28.4,23.3,50.7,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kyle Higashioka,C,47.1,9.5,0.8,8.4,23.8,28.2,13.9,56.1,1.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Miguel Amaya,C,56.0,11.1,0.9,7.2,28.4,30.0,18.8,55.8,1.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
